OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
2001,1434325,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,5,5B,1369,2020-01-24T00:01:16.000Z
2002,1434326,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,2020-01-24T00:19:09.000Z
2003,1434330,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1624,2020-01-19T00:08:00.000Z
2004,1434332,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0306,2020-01-23T00:03:00.000Z
2005,1434333,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1279,2020-01-21T00:06:00.000Z
2006,1434334,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1399,2020-01-10T00:01:00.000Z
2007,1434336,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,0233,2020-01-17T00:14:00.000Z
2008,1434337,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6C,1404,2020-01-23T00:11:04.000Z
2009,1434338,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0523,2020-01-23T00:18:13.000Z
2010,1434339,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1A,0307,2020-01-23T00:19:02.000Z
2011,1434340,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0725,2020-01-17T00:09:35.000Z
2012,1434341,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0526,2020-01-19T00:21:00.000Z
2013,1434342,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1B,0401,2020-01-24T00:09:47.000Z
2014,1434345,1399,6,ASSAULT,368(B)(1) CRUELTY ELDER W/INJ,2,2A,0237,2020-01-24T00:16:43.000Z
2015,1434347,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0732,2020-01-25T00:05:01.000Z
2016,1434348,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1603,2020-01-25T00:11:33.000Z
2017,1434349,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0728,2020-01-24T00:07:28.000Z
2018,1434350,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0563,2020-01-25T00:14:02.000Z
2019,1434351,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0788,2020-01-25T00:14:24.000Z
2020,1434352,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0728,2020-01-25T00:15:28.000Z
2021,1434353,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,0778,2020-01-25T00:16:06.000Z
2022,1434354,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,3,3B,0747,2020-01-25T00:17:24.000Z
2023,1434355,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,6,6D,0856,2020-01-25T00:17:32.000Z
